Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty
824, Goat Latin,['String'],68.70%,FALSE,Easy
825, Friends Of Appropriate Ages,"['Array', 'Two Pointers', 'Binary Search', '1+']",48.10%,FALSE,Medium
826, Most Profit Assigning Work,"['Array', 'Two Pointers', 'Binary Search', '2+']",55.90%,FALSE,Medium
827, Making A Large Island,"['Array', 'Depth-First Search', '3+']",49.00%,FALSE,Hard
828, Count Unique Characters of All Substrings of a Given String,"['Hash Table', 'String', '1+']",52.70%,FALSE,Hard
829, Consecutive Numbers Sum,"['Math', 'Enumeration']",42.00%,FALSE,Hard
830, Positions of Large Groups,['String'],52.60%,FALSE,Easy
831, Masking Personal Information,['String'],49.90%,FALSE,Medium
832, Flipping an Image,"['Array', 'Two Pointers', '3+']",82.50%,FALSE,Easy
833, Find And Replace in String,"['Array', 'Hash Table', 'String', '1+']",51.90%,FALSE,Medium
834, Sum of Distances in Tree,"['Dynamic Programming', 'Tree', '2+']",65.30%,FALSE,Hard
835, Image Overlap,"['Array', 'Matrix']",63.70%,FALSE,Medium
836, Rectangle Overlap,"['Math', 'Geometry']",45.20%,FALSE,Easy
837, New 21 Game,"['Math', 'Dynamic Programming', '2+']",44.90%,FALSE,Medium
838, Push Dominoes,"['Two Pointers', 'String', '1+']",57.30%,FALSE,Medium
839, Similar String Groups,"['Array', 'Hash Table', 'String', '3+']",55.20%,FALSE,Hard
840, Magic Squares In Grid,"['Array', 'Hash Table', 'Math', '1+']",51.70%,FALSE,Medium
841, Keys and Rooms,"['Depth-First Search', '2+']",73.70%,FALSE,Medium
842, Split Array into Fibonacci Sequence,"['String', 'Backtracking']",39.20%,FALSE,Medium
843, Guess the Word,"['Array', 'Math', 'String', '2+']",38.40%,FALSE,Hard
844, Backspace String Compare,"['Two Pointers', 'String', 'Stack', '1+']",49.30%,FALSE,Easy
845, Longest Mountain in Array,"['Array', 'Two Pointers', '2+']",40.70%,FALSE,Medium
846, Hand of Straights,"['Array', 'Hash Table', 'Greedy', '1+']",56.80%,FALSE,Medium
847, Shortest Path Visiting All Nodes,"['Dynamic Programming', '4+']",65.40%,FALSE,Hard
848, Shifting Letters,"['Array', 'String', 'Prefix Sum']",44.90%,FALSE,Medium
849, Maximize Distance to Closest Person,['Array'],48.40%,FALSE,Medium
850, Rectangle Area II,"['Array', 'Segment Tree', 'Line Sweep', '1+']",54.30%,FALSE,Hard
851, Loud and Rich,"['Array', 'Depth-First Search', 'Graph', '1+']",60.40%,FALSE,Medium
852, Peak Index in a Mountain Array,"['Array', 'Binary Search']",68.10%,FALSE,Medium
853, Car Fleet,"['Array', 'Stack', 'Sorting', '1+']",52.20%,FALSE,Medium
854, K-Similar Strings,"['String', 'Breadth-First Search']",40.00%,FALSE,Hard
855, Exam Room,"['Design', 'Heap (Priority Queue)', '1+']",43.60%,FALSE,Medium
856, Score of Parentheses,"['String', 'Stack']",64.00%,FALSE,Medium
857, Minimum Cost to Hire K Workers,"['Array', 'Greedy', 'Sorting', '1+']",63.50%,FALSE,Hard
858, Mirror Reflection,"['Math', 'Geometry', 'Number Theory']",62.40%,FALSE,Medium
859, Buddy Strings,"['Hash Table', 'String']",33.30%,FALSE,Easy
860, Lemonade Change,"['Array', 'Greedy']",58.30%,FALSE,Easy
861, Score After Flipping Matrix,"['Array', 'Greedy', 'Bit Manipulation', '1+']",80.40%,FALSE,Medium
862, Shortest Subarray with Sum at Least K,"['Array', 'Binary Search', 'Queue', '4+']",26.20%,FALSE,Hard
863, All Nodes Distance K in Binary Tree,"['Hash Table', 'Tree', '3+']",65.20%,FALSE,Medium
864, Shortest Path to Get All Keys,"['Array', 'Bit Manipulation', '2+']",53.60%,FALSE,Hard
865, Smallest Subtree with all the Deepest Nodes,"['Hash Table', 'Tree', '3+']",71.20%,FALSE,Medium
866, Prime Palindrome,"['Math', 'Number Theory']",26.20%,FALSE,Medium
867, Transpose Matrix,"['Array', 'Matrix', 'Simulation']",72.80%,FALSE,Easy
868, Binary Gap,['Bit Manipulation'],64.10%,FALSE,Easy
869, Reordered Power of 2,"['Hash Table', 'Math', 'Sorting', '2+']",62.50%,FALSE,Medium
870, Advantage Shuffle,"['Array', 'Two Pointers', 'Greedy', '1+']",52.90%,FALSE,Medium
871, Minimum Number of Refueling Stops,"['Array', 'Dynamic Programming', '2+']",40.30%,FALSE,Hard
872, Leaf-Similar Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",70.10%,FALSE,Easy
873, Length of Longest Fibonacci Subsequence,"['Array', 'Hash Table', '1+']",48.50%,FALSE,Medium
874, Walking Robot Simulation,"['Array', 'Hash Table', 'Simulation']",57.90%,FALSE,Medium
875, Koko Eating Bananas,"['Array', 'Binary Search']",48.50%,FALSE,Medium
876, Middle of the Linked List,"['Linked List', 'Two Pointers']",79.60%,FALSE,Easy
877, Stone Game,"['Array', 'Math', '2+']",71.20%,FALSE,Medium
878, Nth Magical Number,"['Math', 'Binary Search']",35.70%,FALSE,Hard
879, Profitable Schemes,"['Array', 'Dynamic Programming']",48.10%,FALSE,Hard
880, Decoded String at Index,"['String', 'Stack']",36.50%,FALSE,Medium
881, Boats to Save People,"['Array', 'Two Pointers', 'Greedy', '1+']",59.70%,FALSE,Medium
882, Reachable Nodes In Subdivided Graph,"['Graph', 'Heap (Priority Queue)', '1+']",50.60%,FALSE,Hard
883, Projection Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",73.40%,FALSE,Easy
884, Uncommon Words from Two Sentences,"['Hash Table', 'String', 'Counting']",75.20%,FALSE,Easy
885, Spiral Matrix III,"['Array', 'Matrix', 'Simulation']",84.70%,FALSE,Medium
886, Possible Bipartition,"['Depth-First Search', '3+']",50.90%,FALSE,Medium
887, Super Egg Drop,"['Math', 'Binary Search', '1+']",28.20%,FALSE,Hard
888, Fair Candy Swap,"['Array', 'Hash Table', 'Binary Search', '1+']",62.40%,FALSE,Easy
889, Construct Binary Tree from Preorder and Postorder Traversal,"['Array', 'Hash Table', '3+']",71.80%,FALSE,Medium
890, Find and Replace Pattern,"['Array', 'Hash Table', 'String']",76.80%,FALSE,Medium
891, Sum of Subsequence Widths,"['Array', 'Math', 'Sorting']",38.30%,FALSE,Hard
892, Surface Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",67.00%,FALSE,Easy
893, Groups of Special-Equivalent Strings,"['Array', 'Hash Table', 'String', '1+']",72.30%,FALSE,Medium
894, All Possible Full Binary Trees,"['Dynamic Programming', 'Tree', '3+']",82.80%,FALSE,Medium
895, Maximum Frequency Stack,"['Hash Table', 'Stack', 'Design', '1+']",66.50%,FALSE,Hard
896, Monotonic Array,['Array'],61.40%,FALSE,Easy
897, Increasing Order Search Tree,"['Stack', 'Tree', 'Depth-First Search', '2+']",78.50%,FALSE,Easy
898, Bitwise ORs of Subarrays,"['Array', 'Dynamic Programming', '1+']",39.80%,FALSE,Medium
899, Orderly Queue,"['Math', 'String', 'Sorting']",66.10%,FALSE,Hard
900, RLE Iterator,"['Array', 'Design', 'Counting', '1+']",59.70%,FALSE,Medium
901, Online Stock Span,"['Stack', 'Design', 'Monotonic Stack', '1+']",66.70%,FALSE,Medium
902, Numbers At Most N Given Digit Set,"['Array', 'Math', 'String', '2+']",42.80%,FALSE,Hard
903, Valid Permutations for DI Sequence,"['String', 'Dynamic Programming', '1+']",57.20%,FALSE,Hard
904, Fruit Into Baskets,"['Array', 'Hash Table', 'Sliding Window']",45.10%,FALSE,Medium
905, Sort Array By Parity,"['Array', 'Two Pointers', 'Sorting']",76.30%,FALSE,Easy
906, Super Palindromes,"['Math', 'Enumeration']",39.10%,FALSE,Hard
907, Sum of Subarray Minimums,"['Array', 'Dynamic Programming', '2+']",37.20%,FALSE,Medium
908, Smallest Range I,"['Array', 'Math']",70.90%,FALSE,Easy
909, Snakes and Ladders,"['Array', 'Breadth-First Search', 'Matrix']",43.80%,FALSE,Medium
910, Smallest Range II,"['Array', 'Math', 'Greedy', '1+']",36.60%,FALSE,Medium
911, Online Election,"['Array', 'Hash Table', 'Binary Search', '1+']",52.30%,FALSE,Medium
912, Sort an Array,"['Array', 'Divide and Conquer', '6+']",57.50%,FALSE,Medium
913, Cat and Mouse,"['Math', 'Dynamic Programming', '4+']",33.90%,FALSE,Hard
914, X of a Kind in a Deck of Cards,"['Array', 'Hash Table', 'Math', '2+']",29.90%,FALSE,Easy
915, Partition Array into Disjoint Intervals,['Array'],48.80%,FALSE,Medium
916, Word Subsets,"['Array', 'Hash Table', 'String']",51.70%,FALSE,Medium
917, Reverse Only Letters,"['Two Pointers', 'String']",65.80%,FALSE,Easy
918, Maximum Sum Circular Subarray,"['Array', 'Divide and Conquer', '3+']",46.00%,FALSE,Medium
919, Complete Binary Tree Inserter,"['Tree', 'Breadth-First Search', 'Design', '1+']",66.00%,FALSE,Medium
920, Number of Music Playlists,"['Math', 'Dynamic Programming', '1+']",60.30%,FALSE,Hard
921, Minimum Add to Make Parentheses Valid,"['String', 'Stack', 'Greedy']",74.60%,FALSE,Medium
922, Sort Array By Parity II,"['Array', 'Two Pointers', 'Sorting']",70.90%,FALSE,Easy
923, 3Sum With Multiplicity,"['Array', 'Hash Table', 'Two Pointers', '2+']",45.60%,FALSE,Medium
924, Minimize Malware Spread,"['Array', 'Hash Table', '4+']",42.10%,FALSE,Hard
925, Long Pressed Name,"['Two Pointers', 'String']",32.30%,FALSE,Easy
926, Flip String to Monotone Increasing,"['String', 'Dynamic Programming']",61.50%,FALSE,Medium
927, Three Equal Parts,"['Array', 'Math']",40.10%,FALSE,Hard
928, Minimize Malware Spread II,"['Array', 'Hash Table', '4+']",44.20%,FALSE,Hard
929, Unique Email Addresses,"['Array', 'Hash Table', 'String']",67.40%,FALSE,Easy
930, Binary Subarrays With Sum,"['Array', 'Hash Table', 'Sliding Window', '1+']",64.20%,FALSE,Medium
931, Minimum Falling Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",62.60%,FALSE,Medium
932, Beautiful Array,"['Array', 'Math', 'Divide and Conquer']",66.10%,FALSE,Medium
933, Number of Recent Calls,"['Design', 'Queue', 'Data Stream']",76.50%,FALSE,Easy
934, Shortest Bridge,"['Array', 'Depth-First Search', '2+']",58.00%,FALSE,Medium
935, Knight Dialer,['Dynamic Programming'],60.70%,FALSE,Medium
936, Stamping The Sequence,"['String', 'Stack', 'Greedy', '1+']",62.50%,FALSE,Hard
937, Reorder Data in Log Files,"['Array', 'String', 'Sorting']",56.60%,FALSE,Medium
938, Range Sum of BST,"['Tree', 'Depth-First Search', '2+']",87.10%,FALSE,Easy
939, Minimum Area Rectangle,"['Array', 'Hash Table', 'Math', '2+']",54.40%,FALSE,Medium
940, Distinct Subsequences II,"['String', 'Dynamic Programming']",43.30%,FALSE,Hard
941, Valid Mountain Array,['Array'],33.60%,FALSE,Easy
942, DI String Match,"['Array', 'Two Pointers', 'String', '1+']",79.40%,FALSE,Easy
943, Find the Shortest Superstring,"['Array', 'String', '3+']",44.30%,FALSE,Hard
944, Delete Columns to Make Sorted,"['Array', 'String']",74.70%,FALSE,Easy
945, Minimum Increment to Make Array Unique,"['Array', 'Greedy', 'Sorting', '1+']",60.10%,FALSE,Medium
946, Validate Stack Sequences,"['Array', 'Stack', 'Simulation']",69.70%,FALSE,Medium
947, Most Stones Removed with Same Row or Column,"['Hash Table', 'Depth-First Search', '2+']",62.10%,FALSE,Medium
948, Bag of Tokens,"['Array', 'Two Pointers', 'Greedy', '1+']",59.00%,FALSE,Medium
949, Largest Time for Given Digits,"['Array', 'String', 'Enumeration']",35.50%,FALSE,Medium
950, Reveal Cards In Increasing Order,"['Array', 'Queue', 'Sorting', '1+']",83.10%,FALSE,Medium
951, Flip Equivalent Binary Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",69.90%,FALSE,Medium
952, Largest Component Size by Common Factor,"['Array', 'Hash Table', 'Math', '2+']",41.00%,FALSE,Hard
953, Verifying an Alien Dictionary,"['Array', 'Hash Table', 'String']",55.30%,FALSE,Easy
954, Array of Doubled Pairs,"['Array', 'Hash Table', 'Greedy', '1+']",39.20%,FALSE,Medium
955, Delete Columns to Make Sorted II,"['Array', 'String', 'Greedy']",35.30%,FALSE,Medium
956, Tallest Billboard,"['Array', 'Dynamic Programming']",52.10%,FALSE,Hard
957, Prison Cells After N Days,"['Array', 'Hash Table', 'Math', '1+']",39.00%,FALSE,Medium
958, Check Completeness of a Binary Tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",57.40%,FALSE,Medium
959, Regions Cut By Slashes,"['Array', 'Hash Table', '4+']",78.00%,FALSE,Medium
960, Delete Columns to Make Sorted III,"['Array', 'String', 'Dynamic Programming']",58.50%,FALSE,Hard
961, N-Repeated Element in Size 2N Array,"['Array', 'Hash Table']",77.10%,FALSE,Easy
962, Maximum Width Ramp,"['Array', 'Stack', 'Monotonic Stack']",55.40%,FALSE,Medium
963, Minimum Area Rectangle II,"['Array', 'Math', 'Geometry']",55.30%,FALSE,Medium
964, Least Operators to Express Number,"['Math', 'Dynamic Programming', '1+']",48.90%,FALSE,Hard
965, Univalued Binary Tree,"['Tree', 'Depth-First Search', '2+']",71.50%,FALSE,Easy
966, Vowel Spellchecker,"['Array', 'Hash Table', 'String']",51.50%,FALSE,Medium
967, Numbers With Same Consecutive Differences,"['Backtracking', 'Breadth-First Search']",58.40%,FALSE,Medium
968, Binary Tree Cameras,"['Dynamic Programming', 'Tree', '2+']",46.90%,FALSE,Hard
969, Pancake Sorting,"['Array', 'Two Pointers', 'Greedy', '1+']",71.10%,FALSE,Medium
970, Powerful Integers,"['Hash Table', 'Math', 'Enumeration']",43.90%,FALSE,Medium
971, Flip Binary Tree To Match Preorder Traversal,"['Tree', 'Depth-First Search', 'Binary Tree']",50.80%,FALSE,Medium
972, Equal Rational Numbers,"['Math', 'String']",44.60%,FALSE,Hard
973, K Closest Points to Origin,"['Array', 'Math', 'Divide and Conquer', '4+']",67.10%,FALSE,Medium
974, Subarray Sums Divisible by K,"['Array', 'Hash Table', 'Prefix Sum']",55.50%,FALSE,Medium
975, Odd Even Jump,"['Array', 'Dynamic Programming', '3+']",40.40%,FALSE,Hard
976, Largest Perimeter Triangle,"['Array', 'Math', 'Greedy', '1+']",56.50%,FALSE,Easy
977, Squares of a Sorted Array,"['Array', 'Two Pointers', 'Sorting']",73.00%,FALSE,Easy
978, Longest Turbulent Subarray,"['Array', 'Dynamic Programming', '1+']",47.60%,FALSE,Medium
979, Distribute Coins in Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",77.20%,FALSE,Medium
980, Unique Paths III,"['Array', 'Backtracking', '2+']",82.00%,FALSE,Hard
981, Time Based Key-Value Store,"['Hash Table', 'String', 'Binary Search', '1+']",49.30%,FALSE,Medium
982, Triples with Bitwise AND Equal To Zero,"['Array', 'Hash Table', 'Bit Manipulation']",58.70%,FALSE,Hard
983, Minimum Cost For Tickets,"['Array', 'Dynamic Programming']",65.30%,FALSE,Medium
984, String Without AAA or BBB,"['String', 'Greedy']",44.20%,FALSE,Medium
985, Sum of Even Numbers After Queries,"['Array', 'Simulation']",68.30%,FALSE,Medium
986, Interval List Intersections,"['Array', 'Two Pointers']",72.00%,FALSE,Medium
987, Vertical Order Traversal of a Binary Tree,"['Hash Table', 'Tree', '4+']",49.30%,FALSE,Hard
988, Smallest String Starting From Leaf,"['String', 'Backtracking', 'Tree', '2+']",60.60%,FALSE,Medium
989, Add to Array-Form of Integer,"['Array', 'Math']",45.10%,FALSE,Easy
990, Satisfiability of Equality Equations,"['Array', 'String', 'Union Find', '1+']",50.80%,FALSE,Medium
991, Broken Calculator,"['Math', 'Greedy']",54.80%,FALSE,Medium
992, Subarrays with K Different Integers,"['Array', 'Hash Table', 'Sliding Window', '1+']",64.50%,FALSE,Hard
993, Cousins in Binary Tree,"['Tree', 'Depth-First Search', '2+']",57.10%,FALSE,Easy
994, Rotting Oranges,"['Array', 'Breadth-First Search', 'Matrix']",55.20%,FALSE,Medium
995, Minimum Number of K Consecutive Bit Flips,"['Array', 'Bit Manipulation', 'Queue', '2+']",62.70%,FALSE,Hard
996, Number of Squareful Arrays,"['Array', 'Hash Table', 'Math', '4+']",50.30%,FALSE,Hard
997, Find the Town Judge,"['Array', 'Hash Table', 'Graph']",49.80%,FALSE,Easy
998, Maximum Binary Tree II,"['Tree', 'Binary Tree']",70.20%,FALSE,Medium
999, Available Captures for Rook,"['Array', 'Matrix', 'Simulation']",69.60%,FALSE,Easy
1000, Minimum Cost to Merge Stones,"['Array', 'Dynamic Programming', '1+']",43.70%,FALSE,Hard
1001, Grid Illumination,"['Array', 'Hash Table']",37.50%,FALSE,Hard
1002, Find Common Characters,"['Array', 'Hash Table', 'String']",74.60%,FALSE,Easy
1003, Check If Word Is Valid After Substitutions,"['String', 'Stack']",60.30%,FALSE,Medium
1004, Max Consecutive Ones III,"['Array', 'Binary Search', '2+']",64.40%,FALSE,Medium
1005, Maximize Sum Of Array After K Negations,"['Array', 'Greedy', 'Sorting']",51.60%,FALSE,Easy
1006, Clumsy Factorial,"['Math', 'Stack', 'Simulation']",57.90%,FALSE,Medium
1007, Minimum Domino Rotations For Equal Row,"['Array', 'Greedy']",52.30%,FALSE,Medium
1008, Construct Binary Search Tree from Preorder Traversal,"['Array', 'Stack', 'Tree', '3+']",82.70%,FALSE,Medium
1009, Complement of Base 10 Integer,['Bit Manipulation'],60.80%,FALSE,Easy
1010, Pairs of Songs With Total Durations Divisible by 60,"['Array', 'Hash Table', 'Counting']",53.10%,FALSE,Medium
1011, Capacity To Ship Packages Within D Days,"['Array', 'Binary Search']",70.70%,FALSE,Medium
1012, Numbers With Repeated Digits,"['Math', 'Dynamic Programming']",42.90%,FALSE,Hard
1013, Partition Array Into Three Parts With Equal Sum,"['Array', 'Greedy']",42.00%,FALSE,Easy
1014, Best Sightseeing Pair,"['Array', 'Dynamic Programming']",59.40%,FALSE,Medium
1015, Smallest Integer Divisible by K,"['Hash Table', 'Math']",46.60%,FALSE,Medium
1016, Binary String With Substrings Representing 1 To N,['String'],57.80%,FALSE,Medium
1017, Convert to Base -2,['Math'],61.20%,FALSE,Medium
1018, Binary Prefix Divisible By 5,"['Array', 'Bit Manipulation']",46.80%,FALSE,Easy
1019, Next Greater Node In Linked List,"['Array', 'Linked List', 'Stack', '1+']",61.50%,FALSE,Medium
1020, Number of Enclaves,"['Array', 'Depth-First Search', '3+']",69.60%,FALSE,Medium
1021, Remove Outermost Parentheses,"['String', 'Stack']",84.20%,FALSE,Easy
1022, Sum of Root To Leaf Binary Numbers,"['Tree', 'Depth-First Search', 'Binary Tree']",73.20%,FALSE,Easy
1023, Camelcase Matching,"['Array', 'Two Pointers', 'String', '2+']",62.90%,FALSE,Medium
1024, Video Stitching,"['Array', 'Dynamic Programming', 'Greedy']",51.60%,FALSE,Medium
1025, Divisor Game,"['Math', 'Dynamic Programming', '2+']",69.40%,FALSE,Easy
1026, Maximum Difference Between Node and Ancestor,"['Tree', 'Depth-First Search', 'Binary Tree']",78.10%,FALSE,Medium
1027, Longest Arithmetic Subsequence,"['Array', 'Hash Table', 'Binary Search', '1+']",49.20%,FALSE,Medium
1028, Recover a Tree From Preorder Traversal,"['String', 'Tree', 'Depth-First Search', '1+']",75.20%,FALSE,Hard
1029, Two City Scheduling,"['Array', 'Greedy', 'Sorting']",67.10%,FALSE,Medium
1030, Matrix Cells in Distance Order,"['Array', 'Math', 'Geometry', '2+']",71.90%,FALSE,Easy
1031, Maximum Sum of Two Non-Overlapping Subarrays,"['Array', 'Dynamic Programming', '1+']",60.00%,FALSE,Medium
1032, Stream of Characters,"['Array', 'String', 'Design', '2+']",52.20%,FALSE,Hard
1033, Moving Stones Until Consecutive,"['Math', 'Brainteaser']",49.20%,FALSE,Medium
1034, Coloring A Border,"['Array', 'Depth-First Search', '2+']",49.40%,FALSE,Medium
1035, Uncrossed Lines,"['Array', 'Dynamic Programming']",63.60%,FALSE,Medium
1036, Escape a Large Maze,"['Array', 'Hash Table', '2+']",35.00%,FALSE,Hard
1037, Valid Boomerang,"['Array', 'Math', 'Geometry']",37.40%,FALSE,Easy
1038, Binary Search Tree to Greater Sum Tree,"['Tree', 'Depth-First Search', '2+']",88.30%,FALSE,Medium
1039, Minimum Score Triangulation of Polygon,"['Array', 'Dynamic Programming']",59.90%,FALSE,Medium
1040, Moving Stones Until Consecutive II,"['Array', 'Math', 'Two Pointers', '1+']",57.40%,FALSE,Medium
1041, Robot Bounded In Circle,"['Math', 'String', 'Simulation']",56.00%,FALSE,Medium
1042, Flower Planting With No Adjacent,"['Depth-First Search', '2+']",51.80%,FALSE,Medium
1043, Partition Array for Maximum Sum,"['Array', 'Dynamic Programming']",76.70%,FALSE,Medium
1044, Longest Duplicate Substring,"['String', 'Binary Search', '4+']",30.60%,FALSE,Hard
1045, Customers Who Bought All Products,['Database'],62.60%,FALSE,Medium
1046, Last Stone Weight,"['Array', 'Heap (Priority Queue)']",65.70%,FALSE,Easy
1047, Remove All Adjacent Duplicates In String,"['String', 'Stack']",70.40%,FALSE,Easy
1048, Longest String Chain,"['Array', 'Hash Table', 'Two Pointers', '3+']",61.50%,FALSE,Medium
1049, Last Stone Weight II,"['Array', 'Dynamic Programming']",56.40%,FALSE,Medium
1050, Actors and Directors Who Cooperated At Least Three Times,['Database'],70.30%,FALSE,Easy
1051, Height Checker,"['Array', 'Sorting', 'Counting Sort']",80.90%,FALSE,Easy
1052, Grumpy Bookstore Owner,"['Array', 'Sliding Window']",64.20%,FALSE,Medium
1053, Previous Permutation With One Swap,"['Array', 'Greedy']",49.60%,FALSE,Medium
1054, Distant Barcodes,"['Array', 'Hash Table', 'Greedy', '3+']",46.90%,FALSE,Medium
1055, Shortest Way to Form String,"['Two Pointers', 'String', 'Binary Search', '1+']",60.60%,TRUE,Medium
1056, Confusing Number,['Math'],49.00%,TRUE,Easy
1057, Campus Bikes,"['Array', 'Greedy', 'Sorting']",58.80%,TRUE,Medium
1058, Minimize Rounding Error to Meet Target,"['Array', 'Math', 'String', '2+']",45.30%,TRUE,Medium
1059, All Paths from Source Lead to Destination,"['Graph', 'Topological Sort']",37.30%,TRUE,Medium
1060, Missing Element in Sorted Array,"['Array', 'Binary Search']",57.60%,TRUE,Medium
1061, Lexicographically Smallest Equivalent String,"['String', 'Union Find']",76.70%,FALSE,Medium
1062, Longest Repeating Substring,"['String', 'Binary Search', '4+']",62.50%,TRUE,Medium
1063, Number of Valid Subarrays,"['Array', 'Stack', 'Monotonic Stack']",79.10%,TRUE,Hard
1064, Fixed Point,"['Array', 'Binary Search']",64.10%,TRUE,Easy
1065, Index Pairs of a String,"['Array', 'String', 'Trie', '1+']",67.80%,TRUE,Easy
1066, Campus Bikes II,"['Array', 'Dynamic Programming', '3+']",55.20%,TRUE,Medium
1067, Digit Count in Range,"['Math', 'Dynamic Programming']",46.40%,TRUE,Hard
1068, Product Sales Analysis I,['Database'],85.00%,FALSE,Easy
1069, Product Sales Analysis II,['Database'],82.10%,TRUE,Easy
1070, Product Sales Analysis III,['Database'],44.10%,FALSE,Medium
1071, Greatest Common Divisor of Strings,"['Math', 'String']",52.10%,FALSE,Easy
1072, Flip Columns For Maximum Number of Equal Rows,"['Array', 'Hash Table', 'Matrix']",64.10%,FALSE,Medium
1073, Adding Two Negabinary Numbers,"['Array', 'Math']",37.20%,FALSE,Medium
1074, Number of Submatrices That Sum to Target,"['Array', 'Hash Table', 'Matrix', '1+']",74.40%,FALSE,Hard
1075, Project Employees I,['Database'],63.90%,FALSE,Easy
1076, Project Employees II,['Database'],50.10%,TRUE,Easy
1077, Project Employees III,['Database'],76.80%,TRUE,Medium
1078, Occurrences After Bigram,['String'],63.50%,FALSE,Easy
1079, Letter Tile Possibilities,"['Hash Table', 'String', 'Backtracking', '1+']",76.40%,FALSE,Medium
1080, Insufficient Nodes in Root to Leaf Paths,"['Tree', 'Depth-First Search', 'Binary Tree']",56.30%,FALSE,Medium
1081, Smallest Subsequence of Distinct Characters,"['String', 'Stack', 'Greedy', '1+']",61.40%,FALSE,Medium
1082, Sales Analysis I,['Database'],74.60%,TRUE,Easy
1083, Sales Analysis II,['Database'],49.80%,TRUE,Easy
1084, Sales Analysis III,['Database'],46.80%,FALSE,Easy
1085, Sum of Digits in the Minimum Number,"['Array', 'Math']",76.60%,TRUE,Easy
1086, High Five,"['Array', 'Hash Table', 'Sorting', '1+']",74.50%,TRUE,Easy
1087, Brace Expansion,"['String', 'Backtracking', '1+']",66.50%,TRUE,Medium
1088, Confusing Number II,"['Math', 'Backtracking']",47.10%,TRUE,Hard
1089, Duplicate Zeros,"['Array', 'Two Pointers']",52.30%,FALSE,Easy
1090, Largest Values From Labels,"['Array', 'Hash Table', 'Greedy', '2+']",62.60%,FALSE,Medium
1091, Shortest Path in Binary Matrix,"['Array', 'Breadth-First Search', 'Matrix']",48.30%,FALSE,Medium
1092, Shortest Common Supersequence,"['String', 'Dynamic Programming']",59.60%,FALSE,Hard
1093, Statistics from a Large Sample,"['Array', 'Math', 'Probability and Statistics']",42.10%,FALSE,Medium
1094, Car Pooling,"['Array', 'Sorting', '3+']",55.90%,FALSE,Medium
1095, Find in Mountain Array,"['Array', 'Binary Search', 'Interactive']",40.20%,FALSE,Hard
1096, Brace Expansion II,"['String', 'Backtracking', 'Stack', '1+']",63.80%,FALSE,Hard
1097, Game Play Analysis V,['Database'],50.90%,TRUE,Hard
1098, Unpopular Books,['Database'],43.30%,TRUE,Medium
1099, Two Sum Less Than K,"['Array', 'Two Pointers', 'Binary Search', '1+']",61.90%,TRUE,Easy
1100, Find K-Length Substrings With No Repeated Characters,"['Hash Table', 'String', 'Sliding Window']",74.90%,TRUE,Medium
1101, The Earliest Moment When Everyone Become Friends,"['Array', 'Union Find', 'Sorting']",65.40%,TRUE,Medium
1102, Path With Maximum Minimum Value,"['Array', 'Binary Search', '5+']",53.80%,TRUE,Medium
1103, Distribute Candies to People,"['Math', 'Simulation']",65.70%,FALSE,Easy
1104, Path In Zigzag Labelled Binary Tree,"['Math', 'Tree', 'Binary Tree']",75.50%,FALSE,Medium
1105, Filling Bookcase Shelves,"['Array', 'Dynamic Programming']",68.80%,FALSE,Medium
1106, Parsing A Boolean Expression,"['String', 'Stack', 'Recursion']",70.60%,FALSE,Hard
1107, New Users Daily Count,['Database'],44.70%,TRUE,Medium
1108, Defanging an IP Address,['String'],89.40%,FALSE,Easy
1109, Corporate Flight Bookings,"['Array', 'Prefix Sum']",62.90%,FALSE,Medium
1110, Delete Nodes And Return Forest,"['Array', 'Hash Table', 'Tree', '2+']",72.40%,FALSE,Medium
1111, Maximum Nesting Depth of Two Valid Parentheses Strings,"['String', 'Stack']",72.10%,FALSE,Medium
1112, Highest Grade For Each Student,['Database'],70.80%,TRUE,Medium
1113, Reported Posts,['Database'],65.00%,TRUE,Easy
1114, Print in Order,['Concurrency'],70.20%,FALSE,Easy
1115, Print FooBar Alternately,['Concurrency'],67.40%,FALSE,Medium
1116, Print Zero Even Odd,['Concurrency'],61.90%,FALSE,Medium
1117, Building H2O,['Concurrency'],57.00%,FALSE,Medium
1118, Number of Days in a Month,['Math'],58.60%,TRUE,Easy
1119, Remove Vowels from a String,['String'],91.20%,TRUE,Easy
1120, Maximum Average Subtree,"['Tree', 'Depth-First Search', 'Binary Tree']",66.70%,TRUE,Medium
1121, Divide Array Into Increasing Sequences,"['Array', 'Counting']",60.90%,TRUE,Hard
1122, Relative Sort Array,"['Array', 'Hash Table', 'Sorting', '1+']",74.80%,FALSE,Easy
1123, Lowest Common Ancestor of Deepest Leaves,"['Hash Table', 'Tree', '3+']",72.80%,FALSE,Medium
1124, Longest Well-Performing Interval,"['Array', 'Hash Table', 'Stack', '2+']",35.50%,FALSE,Medium
